@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Remove-R3-10,12-13,16-17,22-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement-V'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute 'Amount of Skin' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.460248,0.641079,1.619312,4044.130301,0.056744,24.040365,2.321615,55.57629,36.769206,Pornografico
0.489988,0.375909,1.474149,4512.941484,0.07552,39.842611,2.760579,53.366624,49.255534,Pornografico
0.310936,0.604374,0.789262,2707.4987,0.062628,11.892578,2.601563,50.313034,24.164714,Pornografico
0.704098,0.397834,31.571903,737.095454,0.319126,4.491374,2.414876,26.328424,14.593424,NoPornografico
0.545392,0.643422,0.444995,2766.167748,0.140618,27.871908,6.068197,64.335871,43.64974,Pornografico
0.551559,0.509852,26.847878,235.982756,0.22735,0.327962,0.101074,24.320652,1.365234,NoPornografico
0.655447,0.418181,97.916793,4454.042856,0.122409,62.905599,2.34196,75.445509,69.816732,NoPornografico
0.531069,0.625866,1.329536,6429.105048,0.039002,41.75944,8.86849,66.059327,59.836914,Pornografico
0.612234,0.749489,3.302895,3179.991124,0.096291,25.22347,6.400553,62.170589,34.357422,Pornografico
0.363338,0.617252,0.240494,1547.359523,0.084161,5.219889,2.571289,55.736645,11.211263,Pornografico
0.407721,0.71971,0.741092,2516.108873,0.075191,12.330892,3.271159,45.300673,20.705404,Pornografico
0.327174,0.463459,1.143128,4236.490691,0.044586,20.729004,2.941569,52.861876,26.821615,Pornografico
0.48813,0.310582,32.198632,952.984848,0.165046,3.882813,2.135254,49.303409,14.611654,NoPornografico
0.555318,0.367924,14.753883,581.119841,0.159694,1.396973,1.040853,17.288883,9.932943,NoPornografico
0.523757,0.399532,1.760309,4844.196318,0.075124,45.665527,2.213542,60.927247,42.200846,Pornografico
0.461065,0.452364,0.392495,1363.553391,0.079557,3.831706,0.799967,29.825969,10.658529,Pornografico
0.338911,0.444011,0.103084,967.87215,0.092936,2.255208,2.202311,23.109445,9.014974,Pornografico
0.309938,0.715159,97.633635,2680.077344,0.073184,13.616862,4.343099,56.067043,21.996094,NoPornografico
0.289093,0.468758,0.437918,2119.935208,0.067813,7.894531,6.051432,35.28349,22.318685,Pornografico
0.364404,0.523569,0.194132,1539.217388,0.075283,4.62028,3.341309,27.295949,15.456055,Pornografico
0.591004,0.286806,2.742761,5610.404471,0.064533,52.618815,6.529134,59.907218,56.192708,Pornografico
0.622466,0.921524,90.431015,1239.51176,0.209063,8.320475,0.586751,43.511194,8.715495,NoPornografico
0.584379,0.386087,90.676911,2594.645886,0.113406,19.777018,0.909668,58.046503,21.183268,NoPornografico
0.539985,0.518121,0.910531,2126.26111,0.231164,27.072103,10.423177,52.520738,38.928711,Pornografico
0.609803,0.652094,100,2572.386002,0.112711,19.319987,0.846354,73.83649,18.189779,NoPornografico
0.516761,0.519749,28.670245,1192.374675,0.137754,5.073405,3.770833,33.496723,17.647461,NoPornografico
0.552288,0.563327,0.257022,974.097547,0.243562,5.986654,5.634766,63.729845,18.933594,Pornografico
0.598077,0.691311,25.327829,236.225397,0.210106,0.303711,0.147624,19.674915,1.340495,NoPornografico
0.640185,0.793769,98.908683,4400.105915,0.114433,57.391602,1.720866,75.96264,58.344076,NoPornografico
0.231909,0.382338,0.305231,1412.648845,0.099271,5.131673,4.768392,31.642025,28.291992,Pornografico
0.582598,0.602157,0.764796,6982.703028,0.037188,46.969727,10.883138,63.282061,61.720703,Pornografico
0.464383,0.34736,0.164625,1462.246825,0.07901,4.376139,1.581868,54.796105,9.727539,Pornografico
0.350375,0.539736,0.1502,1936.798123,0.088721,8.621094,6.204427,51.56422,27.052734,Pornografico
0.349633,0.681078,0.147805,2420.042856,0.066153,10.036133,2.707031,38.769145,16.624023,Pornografico
0.322523,0.598805,34.31681,2768.351514,0.049844,9.895182,6.554199,37.824884,37.655599,NoPornografico
0.374897,0.470337,58.2885,633.480231,0.085676,0.890625,0.55485,43.807987,1.936198,NoPornografico
0.217089,0.631352,0.626095,3477.395237,0.029883,9.360677,2.548991,44.284178,21.11263,Pornografico
0.823289,0.642475,16.083219,402.953319,0.584664,2.459147,2.230469,22.575644,15.677734,NoPornografico
0.362175,0.774871,76.801618,3038.368758,0.096134,22.989421,8.347656,60.890579,41.520833,NoPornografico
0.584302,0.25376,21.070395,779.563492,0.089246,1.404948,1.220866,26.544911,7.426432,NoPornografico
0.646284,0.452198,49.241468,1163.837662,0.231053,8.107096,5.465658,52.456998,16.243164,NoPornografico
0.485435,0.716404,63.503712,1062.801082,0.140372,4.107259,0.800618,28.982321,7.629557,NoPornografico
0.484216,0.829786,0.248975,1705.727056,0.087593,6.601725,5.990072,50.675225,40.729818,Pornografico
0.342116,0.507863,0.036577,856.457936,0.069135,1.313639,0.967122,10.239297,3.02181,Pornografico
0.474664,0.658533,63.56636,479.178716,0.222882,1.325684,0.404622,18.933602,2.155924,NoPornografico
0.453618,0.500672,37.857608,1921.727056,0.090592,8.666504,4.928711,50.960189,26.966797,NoPornografico
0.492245,0.556406,65.086352,3506.851081,0.063838,20.336914,8.589518,43.435154,31.872721,NoPornografico
0.607465,0.285332,48.135409,1414.004184,0.147629,7.646159,1.927246,24.295096,16.183594,NoPornografico
0.779619,0.465635,1.433066,4988.383043,0.120506,77.677897,1.700846,80.134005,75.744141,Pornografico
0.446701,0.486597,1.050834,2601.758585,0.135782,23.809245,16.793294,64.46904,50.246419,Pornografico
0.522733,0.500823,0.843406,2761.172798,0.111713,22.062663,21.475911,67.148695,52.329102,Pornografico
0.853502,0.704246,31.068126,266.183766,0.626689,1.150228,0.399577,14.341975,3.836914,NoPornografico
0.671703,0.722261,0.117431,1358.11479,0.185548,8.865397,8.049967,65.751413,28.874674,Pornografico
0.459294,0.446525,79.132642,1222.34733,0.143155,5.54069,0.574056,54.229594,7.693685,NoPornografico
0.661577,0.639536,55.994917,3214.905771,0.109566,29.334635,12.508464,57.757532,51.747396,NoPornografico
0.581117,0.60521,20.737365,857.327994,0.217318,4.137695,3.257324,25.878641,19.927734,NoPornografico
0.434285,0.436638,36.59664,1788.004184,0.083583,6.921875,4.66748,51.736999,19.647786,NoPornografico
0.637415,0.357672,1.536663,6183.034847,0.064131,63.509277,2.585449,63.783215,58.959635,Pornografico
0.708366,0.587146,42.95497,826.943217,0.376191,6.6639,2.335286,58.774305,17.255534,NoPornografico
0.608571,0.347326,1.548391,5060.105915,0.091419,60.635417,3.646159,66.936009,60.520182,Pornografico
0.238144,0.669949,1.178151,3980.375901,0.053089,21.788411,18.220215,56.321147,45.622396,Pornografico
0.427484,0.550036,0.061849,549.404112,0.27654,2.162272,1.049967,28.955469,9.361328,Pornografico
0.47549,0.341563,0.401227,2776.819551,0.086264,17.230306,8.381185,63.15481,36.284505,Pornografico
0.696582,0.543618,58.736132,855.570634,0.281138,5.330892,1.847982,46.921252,8.391276,NoPornografico
0.321019,0.412616,100,4109.013419,0.071529,31.28418,5.764811,41.04816,36.150065,NoPornografico
0.646652,0.754917,30.759961,953.019336,0.219783,5.170898,4.073405,22.548779,17.28776,NoPornografico
0.584967,0.725217,69.237652,419.948268,0.261971,1.196777,0.135742,26.289636,1.81901,NoPornografico
0.594442,0.535607,18.502017,406.007143,0.28675,1.224447,1.169108,25.617537,6.940755,NoPornografico
0.293244,0.59911,49.903908,843.587878,0.113366,2.089844,0.610026,28.104742,4.573242,NoPornografico
0.449319,0.41495,1.90257,6183.922148,0.03564,35.30485,0.861491,53.187861,36.273438,Pornografico
0.404935,0.759404,41.118328,4671.37085,0.071375,40.346029,2.661621,54.449265,49.704427,Pornografico
0.525362,0.480296,31.246488,7351.583187,0.033703,47.184082,6.605794,59.092853,58.076172,Pornografico
0.575133,0.464688,22.089699,5136.48059,0.072944,49.852702,4.514974,58.499654,57.100586,Pornografico
0.269941,0.35822,26.345291,574.551299,0.112584,0.962728,0.365234,15.578012,4.355469,NoPornografico
0.615814,0.677421,16.44921,786.759451,0.158899,2.547852,2.277018,28.630102,16.516276,NoPornografico
0.253008,0.437248,1.141888,1048.967604,0.088549,2.523926,1.469727,34.655829,14.990234,Pornografico
0.302477,0.18258,3.821505,2890.559667,0.041899,9.068522,3.276855,39.439613,17.931315,Pornografico
0.32664,0.346122,2.823949,2450.285497,0.050487,7.852051,2.879232,36.832353,22.547526,Pornografico
0.503629,0.557674,5.114569,2135.557575,0.118533,14.003255,5.263184,56.950635,36.674154,Pornografico
0.405841,0.564336,23.736942,754.090404,0.196931,2.900879,2.468587,42.288888,14.458333,NoPornografico
0.712091,0.360876,51.598347,744.416306,0.238331,3.421224,1.63265,38.019079,6.85319,NoPornografico
0.491188,0.630464,4.71802,2445.4987,0.140907,21.829102,2.78597,52.936246,44.822917,Pornografico
0.538492,0.555712,3.099121,2029.484415,0.145547,15.528971,2.619629,45.862869,23.489583,Pornografico
0.467048,0.71104,48.067879,1594.607214,0.09328,6.144206,6.092448,33.567778,13.427734,NoPornografico
0.476275,0.514699,32.655397,729.570634,0.194431,2.680827,2.486979,36.579859,8.530924,NoPornografico
0.705143,0.627863,0.238675,1262.506709,0.375555,15.506348,10.047038,67.486149,32.53776,Pornografico
0.579487,0.498251,34.124343,743.972655,0.200348,2.872559,1.656087,44.645669,9.780599,NoPornografico
0.632663,0.459426,0.088799,741.730014,0.324459,4.624023,1.986328,32.865427,16.581055,Pornografico
0.395025,0.459602,0.137451,2063.775829,0.068885,7.600098,4.886393,36.893224,19.510417,Pornografico
0.60159,0.771176,40.739428,356.83557,0.32474,1.071126,0.610514,16.471392,2.755859,NoPornografico
0.396127,0.525746,56.802049,3521.062192,0.036342,11.671549,6.374837,40.645615,22.746094,NoPornografico
0.363283,0.29846,3.817448,7908.804758,0.01783,28.889648,0.801758,44.33893,31.976563,Pornografico
0.369883,0.47802,2.502008,3586.147545,0.037949,12.642415,5.57194,37.631352,24.139974,Pornografico
0.766502,0.354347,0.256454,2124.413347,0.172721,20.192546,1.11735,52.24178,24.200846,Pornografico
0.372818,0.432207,1.813203,2908.711904,0.067383,14.768066,1.322266,38.895859,19.79362,Pornografico
0.338477,0.247537,2.269781,2887.079436,0.101779,21.975749,2.586751,48.313303,20.639648,Pornografico
0.685342,0.60276,23.055935,366.208153,0.43155,1.499186,0.927572,50.424474,6.442383,NoPornografico
0.354815,0.600557,2.322089,3274.584053,0.082075,22.797689,8.066406,50.021785,31.274089,Pornografico
0.591108,0.584407,2.158747,2355.90072,0.158177,22.741862,2.110677,75.160514,24.535482,Pornografico
0.529269,0.35812,3.276595,4537.610532,0.069087,36.848307,2.076335,61.926743,34.376302,Pornografico
0.67334,0.65356,58.531846,584.859956,0.306994,2.720215,0.894368,13.729319,4.523112,NoPornografico
0.522086,0.54517,3.078967,4085.377993,0.098768,42.702311,3.722656,61.270726,45.216146,Pornografico
0.539778,0.668365,47.723487,1248.180808,0.093533,3.77474,1.969238,50.883469,8.207682,NoPornografico
0.49226,0.67846,100,6124.411614,0.050479,49.046712,2.967448,58.52189,51.362305,NoPornografico
0.711825,0.775806,5.568075,185.539105,0.678972,0.605469,0.548014,43.037686,11.411784,NoPornografico
0.506139,0.475876,54.571865,1213.678282,0.171914,6.559733,3.249674,54.425061,12.997721,NoPornografico
0.348065,0.59357,38.597741,510.232539,0.172153,1.16097,0.418945,12.388972,3.198893,NoPornografico
0.690848,0.506756,1.535792,7499.568901,0.047245,68.833171,1.752279,64.873288,65.378581,Pornografico
0.431472,0.639516,0.029037,498.651804,0.186383,1.200521,0.146973,13.113629,2.421549,Pornografico
