@relation 'Caracteristicas-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {Pornografico,NoPornografico}

@data
0.591014,0.600291,25.053012,94.068347,157.062143,0.457149,0.248759,0.228487,-1.144169,0,2.295941,0,34.007119,2514.025612,0.126267,360,266,20.672689,3.058757,59.4694,22.093424,0,Pornografico
0.593074,0.525636,13.89769,84.262976,201.090853,0.570125,0.553298,0.219416,-0.403479,0,2.183266,0,4.984624,3048.500792,0.066219,154,280,15.941243,9.547689,67.182534,50.618164,0.644979,Pornografico
0.478234,0.472414,32.447721,118.374202,170.459827,0.407562,0.683407,0.796195,0.180552,0,0.54926,0,36.49087,1024.582828,0.170964,295,426,4.649089,3.153483,42.573584,16.691732,0,Pornografico
0.69124,0.731278,14.788411,162.121725,151.080358,0.680853,1.119438,0.308523,1.104647,209158,7.227643,1,23.34475,7223.583187,0.050953,311,240,68.872233,0.495931,68.312239,69.056315,0,Pornografico
0.803794,0.347793,13.604398,126.344981,127.65418,0.631029,0.710273,0.120208,1.509065,193852,6.278172,1,14.701286,5916.150504,0.088331,317,239,80.086589,4.693848,63.367734,65.286133,0,Pornografico
0.736208,0.31511,10.600978,190.380438,142.018122,0.652052,0.755,0.354131,-1.069134,191964,5.849191,1,10.135243,4740.098772,0.120767,287,277,70.289876,8.614095,65.709499,64.842773,0,Pornografico
0.412564,0.451401,30.108155,74.553531,148.246529,0.371403,0.759368,0.575212,0.233022,0,1.589405,0,49.48308,2691.030663,0.087465,152,190,16.407389,1.027995,48.873368,19.451497,0,Pornografico
0.642919,0.620181,17.587553,83.230615,182.215229,0.668519,0.127956,0.31573,1.299849,0,1.386696,0,27.9374,1715.359523,0.193222,338,352,14.727702,3.372233,55.689218,26.452148,0,Pornografico
0.619269,0.642588,11.9512,98.47285,152.951515,0.562863,0.495989,0.228467,-1.393969,161294,4.496222,1,17.046744,6944.931383,0.046061,256,276,57.549316,2.887044,57.566145,56.655599,0.998182,Pornografico
0.685395,0.303655,10.566914,83.115337,185.983241,0.779839,0.731099,0.653639,0.244979,0,0.346528,0,16.72495,579.889394,0.39169,264,315,3.411947,3.302246,65.433951,16.934896,0,Pornografico
