@relation 'CaracteristicasTEST-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Rectangularity1 numeric
@attribute Rectangularity2 numeric
@attribute HMean numeric
@attribute SMean numeric
@attribute Vmean numeric
@attribute MeanGray numeric
@attribute Eccentricity numeric
@attribute Ellipcity numeric
@attribute Orientation numeric
@attribute 'Amount of touching pixels' numeric
@attribute 'Amount of Skin' numeric
@attribute 'Number of touched corners' numeric
@attribute 'Hue std' numeric
@attribute Perimeter numeric
@attribute Compactness1 numeric
@attribute CentroideX numeric
@attribute CentroideY numeric
@attribute Size1 numeric
@attribute Size2 numeric
@attribute Polygonfillrate numeric
@attribute Skinfillrate numeric
@attribute Areacara numeric
@attribute Clasificacion {NoPornografico,Pornografico}

@data
0.50807,0.647954,0.287225,0.306998,0.579578,0.555098,0.069527,0.12854,0.037363,0,0.243059,1,0.76376,0.053776,0.383841,0.883212,0.736709,0.017931,0.030518,0.121375,0.035703,0,NoPornografico
0.022242,0.34674,0.577422,0.243381,0.402042,0.17945,0.109567,0.488066,0.536378,0,0.387172,0,0.879627,0.279061,0.077194,0.30292,0.336709,0.094392,0.076505,0.421983,0.236536,0,NoPornografico
0.540485,0.541054,0.117202,0.3055,0.607602,0.59787,0,0.45165,0.597205,0,0.181845,0,0.562722,0.083124,0.207837,0.64781,0.124051,0.020147,0.048831,0.545503,0.058766,0,NoPornografico
0.449702,0.272629,0.2714,0.801367,0.398512,0.508483,0.189878,0.765418,0.575492,0,0.405778,0,0.72728,0.391789,0.066997,0.308394,0.762025,0.167042,0.235439,0.403872,0.360681,0,NoPornografico
0.166853,0.266693,0.157587,1,0.258728,0.144003,0.065574,0.496537,0.895396,0,0.24492,0,0.551046,0.149214,0.179054,0.260949,0.243038,0.054536,0.146646,0.317947,0.153658,0,NoPornografico
0,0.290479,0.25035,0.23094,0.395421,0.137598,0.082221,0.256758,0.936985,0,0.299227,0,0.738713,0.237503,0.082321,0.810219,0.394937,0.071892,0.176229,0.21871,0.21267,0,NoPornografico
0.136616,0.817367,0.172004,0.328194,0.249065,0.298286,0.411478,0.519684,0.803318,0,0.353699,0,0.645684,0.205993,0.109784,0.041971,0.339241,0.067337,0.077281,0.243928,0.17222,0,NoPornografico
0.505717,0.588433,1,0.589566,0.137273,0.545558,0.178737,0.716728,0.343416,0.424326,0.461534,1,0.75609,0.416858,0.162759,0.374088,0.853165,0.353411,0.956252,0.561382,0.67969,0,NoPornografico
0.453564,0.538272,0.056748,0.062786,0.500352,0.454703,0.389264,0.522284,0.640018,0,0.117952,1,0.397993,0.106527,0.179548,0.95438,0.397468,0.02843,0.069888,0.175454,0.125278,0,NoPornografico
0.75826,0.519527,0.508932,0.737782,0.094135,0.625487,0.20554,0.274119,0.476436,0,0.407803,0,1,0.32595,0.200483,0.709854,0.313924,0.262327,0.602452,0.668467,0.537877,0,NoPornografico
0.536915,0.412156,0.143123,0.698882,0.307879,0.585751,0.471072,0.959527,0.945116,0,0.070303,0,0.532415,0.034859,0.376073,0.082117,0.351899,0.007344,0.007976,0,0.037501,0,NoPornografico
0.355294,0.20623,0.092694,0.554425,0,0.438095,0.049834,0.378832,0.27932,0,0.343539,0,0.420743,0.331479,0.079434,0.107664,0.253165,0.134569,0.181537,0.360251,0.323595,0,NoPornografico
0.700773,0.255154,0.214335,0.217303,0.419685,0.752697,0.113397,0.468469,0.05965,0,0.06858,1,0.681489,0.137468,0.229418,0.051095,0.531646,0.058679,0.161344,0.544672,0.319246,0,NoPornografico
0.035676,0.641403,0.427069,0.369213,0.651133,0.127501,0.046101,0.270518,0.858815,0,0.340627,0,0.800798,0.206017,0.091499,0.428832,0.675949,0.058615,0.071802,0.331111,0.140754,0,NoPornografico
